experiment,checkpoint,agent,agent1_rew,agent2_rew,agent3_rew,agent4_rew,vs_random,agent_random
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,004000000,first_0,-17.140845070422536,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,045000000,first_0,-19.90625,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,045500000,first_0,-19.016393442622952,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,046000000,first_0,-20.825396825396826,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,046500000,first_0,-18.666666666666668,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,047000000,first_0,-20.38095238095238,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,047500000,first_0,-21.058823529411764,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,048000000,first_0,-16.137931034482758,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,048500000,first_0,-17.032258064516128,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,049000000,first_0,-16.721311475409838,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,049500000,first_0,-21.417721518987342,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,004500000,first_0,-10.28169014084507,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,000500000,first_0,-16.852459016393443,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,001000000,first_0,-21.736842105263158,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,001500000,first_0,-19.016949152542374,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,002000000,first_0,-17.054545454545455,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,002500000,first_0,-18.39344262295082,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,003000000,first_0,-19.26984126984127,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,003500000,first_0,-19.34426229508197,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,004000000,first_0,-19.483870967741936,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,004500000,first_0,-19.454545454545453,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,005000000,first_0,-18.466666666666665,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,005000000,first_0,-10.971830985915492,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_boxing_v1_RB1000000_F50000000_S0,005000000,first_0,-22.295774647887324,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,005500000,first_0,-19.6,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,006000000,first_0,-19.692307692307693,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,006500000,first_0,-20.125,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,007000000,first_0,-19.044776119402986,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,007500000,first_0,-19.032258064516128,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,008000000,first_0,-19.733333333333334,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,008500000,first_0,-18.666666666666668,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,009000000,first_0,-19.88,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,009500000,first_0,-19.854545454545455,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,010000000,first_0,-19.79310344827586,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,005500000,first_0,-0.39436619718309857,nan,nan,nan,False,False
